id,n1,n2,n3,n4,n5,n6,sp
103001,11,18,20,21,35,37,8
103002,1,7,21,25,35,36,39
103003,7,17,19,30,32,37,3
103004,2,11,21,41,45,49,26
103005,13,15,20,26,29,36,37
103006,12,15,22,38,43,44,9
103007,1,4,20,29,41,45,36
103008,1,2,5,7,26,30,24
103009,9,22,44,45,48,49,8
103010,17,23,27,38,48,49,19
103011,6,9,13,19,36,37,27
103012,3,13,14,19,24,45,5
103013,1,2,16,17,27,30,48
103014,8,12,19,32,42,46,28
103015,5,11,12,21,22,28,25
103016,6,15,21,22,31,44,41
103017,10,19,20,24,33,48,1
103018,6,19,20,26,32,47,35
103019,11,12,23,28,40,48,9
103020,3,5,9,12,13,46,4
103021,13,17,18,24,28,32,37
103022,8,26,35,37,40,43,6
103023,6,18,26,30,37,38,16
103024,13,15,16,20,40,43,14
103025,2,8,27,40,41,47,28
103026,12,26,28,35,39,40,16
103027,8,18,26,31,46,47,20
103028,19,23,25,30,42,47,16
103029,9,18,23,35,36,47,41
103030,18,22,29,30,46,47,6
103031,8,24,35,37,41,47,23
103032,1,14,17,27,28,45,11
103033,1,3,4,9,12,17,15
103034,5,8,24,26,35,44,41
103035,8,9,15,40,44,48,24
103036,11,12,15,18,20,37,42
103037,4,24,34,35,38,46,30
103038,2,9,27,30,44,46,22
103039,1,7,23,25,37,40,12
103040,10,25,35,39,40,46,31
103041,1,11,13,21,27,37,3
103042,15,20,29,31,32,44,23
103043,14,31,38,41,42,45,29
103044,6,13,30,33,34,35,38
103045,11,17,22,27,30,46,15
103046,10,19,23,26,32,39,16
103047,9,17,21,24,30,35,15
103048,16,31,32,33,35,44,46
103049,25,29,40,41,47,49,48
103050,3,11,28,32,33,35,30
103051,4,21,28,32,37,42,16
103052,3,6,18,20,25,48,12
103053,12,14,16,33,36,47,48
103054,1,8,12,14,40,41,15
103055,13,21,27,34,35,36,24
103056,6,7,8,9,21,48,18
103057,3,14,17,24,27,48,28
103058,10,22,25,33,39,47,38
103059,1,7,14,15,18,30,33
103060,7,18,23,32,34,48,13
103061,1,2,15,19,21,30,40
103062,3,9,13,17,28,42,14
103063,5,21,30,32,35,45,26
103064,31,32,34,36,44,47,46
103065,5,8,21,23,32,45,18
103066,4,11,26,33,40,42,34
103067,26,31,32,38,42,45,37
103068,4,6,10,12,34,45,44
103069,18,23,29,46,47,48,5
103070,6,7,9,12,14,19,17
103071,8,16,23,30,31,43,18
103072,1,17,19,23,32,43,9
103073,9,10,21,23,38,39,35
103074,7,8,36,39,42,43,22
103075,10,16,25,27,32,36,45
103076,21,23,29,41,42,49,14
103077,2,23,27,31,36,49,15
103078,7,12,16,18,19,41,45
103079,2,6,17,29,32,39,4
103080,2,11,20,28,32,38,16
103081,8,15,19,22,29,37,39
